utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 539, 6456, 5469, 6406, 2950, 6581, 2157, 3352, 3, 5]",난 현실에서 만나서 5인격 조짐 [SEP] 
[2],[2],[2],"[2, 539, 6456, 5469, 6406, 2950, 6581, 2157, 3352, 3, 5]","[2, 2764, 5664, 5497, 2376, 3017, 5457, 1311, 4743, 3077, 6789, 3481, 2996, 1621, 3010, 7806, 2723, 2960, 3381, 3117, 3103, 2964, 3137, 6416, 3, 5990, 5607, 3271, 3340, 6229, 7592, 3, 5729, 2992, 3417, 5457, 7463, 3082, 3, 5]",하 이번 학교 첫주 너무 바빴다 매일매일 수능문제 풀고ㅈㄴ정신없었음 [SEP] 오늘도 ㅅㅂ학원갔다오고 [SEP] 하루하루 너무피곤해 [SEP] 
[2],[2],"[2, 539, 6456, 5469, 6406, 2950, 6581, 2157, 3352, 3, 5]","[2, 2764, 5664, 5497, 2376, 3017, 5457, 1311, 4743, 3077, 6789, 3481, 2996, 1621, 3010, 7806, 2723, 2960, 3381, 3117, 3103, 2964, 3137, 6416, 3, 5990, 5607, 3271, 3340, 6229, 7592, 3, 5729, 2992, 3417, 5457, 7463, 3082, 3, 5]","[2, 5513, 5466, 5497, 3261, 134, 3, 5]",그래서 오늘 학교감? [SEP] 
[2],"[2, 539, 6456, 5469, 6406, 2950, 6581, 2157, 3352, 3, 5]","[2, 2764, 5664, 5497, 2376, 3017, 5457, 1311, 4743, 3077, 6789, 3481, 2996, 1621, 3010, 7806, 2723, 2960, 3381, 3117, 3103, 2964, 3137, 6416, 3, 5990, 5607, 3271, 3340, 6229, 7592, 3, 5729, 2992, 3417, 5457, 7463, 3082, 3, 5]","[2, 5513, 5466, 5497, 3261, 134, 3, 5]","[2, 2767, 7393, 6778, 2921, 7163, 3, 7835, 5641, 3, 5]",한 2시간있다가 가야지 [SEP] 왜지 시발 [SEP] 
"[2, 539, 6456, 5469, 6406, 2950, 6581, 2157, 3352, 3, 5]","[2, 2764, 5664, 5497, 2376, 3017, 5457, 1311, 4743, 3077, 6789, 3481, 2996, 1621, 3010, 7806, 2723, 2960, 3381, 3117, 3103, 2964, 3137, 6416, 3, 5990, 5607, 3271, 3340, 6229, 7592, 3, 5729, 2992, 3417, 5457, 7463, 3082, 3, 5]","[2, 5513, 5466, 5497, 3261, 134, 3, 5]","[2, 2767, 7393, 6778, 2921, 7163, 3, 7835, 5641, 3, 5]","[2, 241, 3266, 3097, 3713, 2996, 3, 6790, 129, 3272, 5892, 2359, 3232, 3077, 3, 5]",개교기념일 [SEP] 무려 5년만에 챙긴다 [SEP] 
"[2, 2764, 5664, 5497, 2376, 3017, 5457, 1311, 4743, 3077, 6789, 3481, 2996, 1621, 3010, 7806, 2723, 2960, 3381, 3117, 3103, 2964, 3137, 6416, 3, 5990, 5607, 3271, 3340, 6229, 7592, 3, 5729, 2992, 3417, 5457, 7463, 3082, 3, 5]","[2, 5513, 5466, 5497, 3261, 134, 3, 5]","[2, 2767, 7393, 6778, 2921, 7163, 3, 7835, 5641, 3, 5]","[2, 241, 3266, 3097, 3713, 2996, 3, 6790, 129, 3272, 5892, 2359, 3232, 3077, 3, 5]","[2, 536, 3068, 3117, 2392, 3427, 5735, 2970, 3012, 2974, 241, 3266, 3097, 3713, 5913, 5798, 3411, 7356, 5791, 3, 5470, 5497, 2947, 5561, 241, 3266, 7970, 3005, 3220, 2936, 3, 5]",나ㅡㄴ 초등학교이후로 개교기념일이라는걸 까먹었다 [SEP] 지금 학교는 언제 개교한지도몰라 [SEP] 
"[2, 5513, 5466, 5497, 3261, 134, 3, 5]","[2, 2767, 7393, 6778, 2921, 7163, 3, 7835, 5641, 3, 5]","[2, 241, 3266, 3097, 3713, 2996, 3, 6790, 129, 3272, 5892, 2359, 3232, 3077, 3, 5]","[2, 536, 3068, 3117, 2392, 3427, 5735, 2970, 3012, 2974, 241, 3266, 3097, 3713, 5913, 5798, 3411, 7356, 5791, 3, 5470, 5497, 2947, 5561, 241, 3266, 7970, 3005, 3220, 2936, 3, 5]","[2, 241, 7131, 5554, 1799, 5589, 3, 723, 6412, 411, 6795, 2974, 5625, 3, 5]",개같다는건 알겠지 [SEP] 다 아는 길거리로구만 [SEP] 
"[2, 2767, 7393, 6778, 2921, 7163, 3, 7835, 5641, 3, 5]","[2, 241, 3266, 3097, 3713, 2996, 3, 6790, 129, 3272, 5892, 2359, 3232, 3077, 3, 5]","[2, 536, 3068, 3117, 2392, 3427, 5735, 2970, 3012, 2974, 241, 3266, 3097, 3713, 5913, 5798, 3411, 7356, 5791, 3, 5470, 5497, 2947, 5561, 241, 3266, 7970, 3005, 3220, 2936, 3, 5]","[2, 241, 7131, 5554, 1799, 5589, 3, 723, 6412, 411, 6795, 2974, 5625, 3, 5]","[2, 707, 5497, 3143, 3077, 3, 5898, 6085, 2987, 6609, 5583, 3, 5]",니 학교봤다 [SEP] 정말 부럽게 생겼더라 [SEP] 
"[2, 241, 3266, 3097, 3713, 2996, 3, 6790, 129, 3272, 5892, 2359, 3232, 3077, 3, 5]","[2, 536, 3068, 3117, 2392, 3427, 5735, 2970, 3012, 2974, 241, 3266, 3097, 3713, 5913, 5798, 3411, 7356, 5791, 3, 5470, 5497, 2947, 5561, 241, 3266, 7970, 3005, 3220, 2936, 3, 5]","[2, 241, 7131, 5554, 1799, 5589, 3, 723, 6412, 411, 6795, 2974, 5625, 3, 5]","[2, 707, 5497, 3143, 3077, 3, 5898, 6085, 2987, 6609, 5583, 3, 5]","[2, 5857, 5566, 2921, 134, 3, 5]",대체 어디가? [SEP] 
"[2, 536, 3068, 3117, 2392, 3427, 5735, 2970, 3012, 2974, 241, 3266, 3097, 3713, 5913, 5798, 3411, 7356, 5791, 3, 5470, 5497, 2947, 5561, 241, 3266, 7970, 3005, 3220, 2936, 3, 5]","[2, 241, 7131, 5554, 1799, 5589, 3, 723, 6412, 411, 6795, 2974, 5625, 3, 5]","[2, 707, 5497, 3143, 3077, 3, 5898, 6085, 2987, 6609, 5583, 3, 5]","[2, 5857, 5566, 2921, 134, 3, 5]","[2, 2042, 6157, 6445, 5771, 6161, 2963, 134, 3, 5]",음 학교가 조용해보이는거? [SEP] 
"[2, 241, 7131, 5554, 1799, 5589, 3, 723, 6412, 411, 6795, 2974, 5625, 3, 5]","[2, 707, 5497, 3143, 3077, 3, 5898, 6085, 2987, 6609, 5583, 3, 5]","[2, 5857, 5566, 2921, 134, 3, 5]","[2, 2042, 6157, 6445, 5771, 6161, 2963, 134, 3, 5]","[2, 144, 3107, 3124, 3109, 3491, 7303, 3, 6539, 1863, 3097, 7250, 3, 6672, 6470, 4364, 3, 5]",because [SEP] 아무도 없기 때문 [SEP] 회의 20분컷 [SEP] 
"[2, 707, 5497, 3143, 3077, 3, 5898, 6085, 2987, 6609, 5583, 3, 5]","[2, 5857, 5566, 2921, 134, 3, 5]","[2, 2042, 6157, 6445, 5771, 6161, 2963, 134, 3, 5]","[2, 144, 3107, 3124, 3109, 3491, 7303, 3, 6539, 1863, 3097, 7250, 3, 6672, 6470, 4364, 3, 5]","[2, 6001, 7976, 3077, 3, 5459, 872, 3266, 2971, 2932, 7699, 3076, 3077, 3, 5629, 7428, 3263, 3614, 3134, 3, 5]",ㅈㄴ부럽다 [SEP] 나도 등교중지되고싶다 [SEP] 그리고 교육부책임 [SEP] 
"[2, 5857, 5566, 2921, 134, 3, 5]","[2, 2042, 6157, 6445, 5771, 6161, 2963, 134, 3, 5]","[2, 144, 3107, 3124, 3109, 3491, 7303, 3, 6539, 1863, 3097, 7250, 3, 6672, 6470, 4364, 3, 5]","[2, 6001, 7976, 3077, 3, 5459, 872, 3266, 2971, 2932, 7699, 3076, 3077, 3, 5629, 7428, 3263, 3614, 3134, 3, 5]","[2, 7608, 3007, 2978, 6061, 1690, 3141, 7206, 5935, 3323, 3, 5]",건강체크할때 실수했다고 조져봐 [SEP] 
"[2, 2042, 6157, 6445, 5771, 6161, 2963, 134, 3, 5]","[2, 144, 3107, 3124, 3109, 3491, 7303, 3, 6539, 1863, 3097, 7250, 3, 6672, 6470, 4364, 3, 5]","[2, 6001, 7976, 3077, 3, 5459, 872, 3266, 2971, 2932, 7699, 3076, 3077, 3, 5629, 7428, 3263, 3614, 3134, 3, 5]","[2, 7608, 3007, 2978, 6061, 1690, 3141, 7206, 5935, 3323, 3, 5]","[2, 6009, 3, 6597, 2974, 355, 3276, 3150, 3238, 2983, 3, 5629, 1690, 3141, 5519, 2992, 4054, 3, 5]",ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [SEP] 우리학교로 구급차출동 [SEP] 그리고 실수리고하몀 [SEP] 
"[2, 144, 3107, 3124, 3109, 3491, 7303, 3, 6539, 1863, 3097, 7250, 3, 6672, 6470, 4364, 3, 5]","[2, 6001, 7976, 3077, 3, 5459, 872, 3266, 2971, 2932, 7699, 3076, 3077, 3, 5629, 7428, 3263, 3614, 3134, 3, 5]","[2, 7608, 3007, 2978, 6061, 1690, 3141, 7206, 5935, 3323, 3, 5]","[2, 6009, 3, 6597, 2974, 355, 3276, 3150, 3238, 2983, 3, 5629, 1690, 3141, 5519, 2992, 4054, 3, 5]","[2, 7737, 2947, 355, 3276, 3150, 3098, 5681, 3, 227, 2923, 2947, 307, 3869, 3150, 3134, 3, 5]",올때는 구급차였지만 [SEP] 갈때는 경찰차임 [SEP] 
"[2, 6001, 7976, 3077, 3, 5459, 872, 3266, 2971, 2932, 7699, 3076, 3077, 3, 5629, 7428, 3263, 3614, 3134, 3, 5]","[2, 7608, 3007, 2978, 6061, 1690, 3141, 7206, 5935, 3323, 3, 5]","[2, 6009, 3, 6597, 2974, 355, 3276, 3150, 3238, 2983, 3, 5629, 1690, 3141, 5519, 2992, 4054, 3, 5]","[2, 7737, 2947, 355, 3276, 3150, 3098, 5681, 3, 227, 2923, 2947, 307, 3869, 3150, 3134, 3, 5]","[2, 347, 2940, 347, 3261, 733, 3134, 3400, 3210, 3360, 347, 2943, 1623, 5461, 3, 5]",교장 교감 담임선생님 교사 순으로 [SEP] 
"[2, 7608, 3007, 2978, 6061, 1690, 3141, 7206, 5935, 3323, 3, 5]","[2, 6009, 3, 6597, 2974, 355, 3276, 3150, 3238, 2983, 3, 5629, 1690, 3141, 5519, 2992, 4054, 3, 5]","[2, 7737, 2947, 355, 3276, 3150, 3098, 5681, 3, 227, 2923, 2947, 307, 3869, 3150, 3134, 3, 5]","[2, 347, 2940, 347, 3261, 733, 3134, 3400, 3210, 3360, 347, 2943, 1623, 5461, 3, 5]","[2, 733, 3134, 1563, 4579, 3449, 5547, 134, 3, 5]",담임 서쿤쌤인가? [SEP] 
"[2, 6009, 3, 6597, 2974, 355, 3276, 3150, 3238, 2983, 3, 5629, 1690, 3141, 5519, 2992, 4054, 3, 5]","[2, 7737, 2947, 355, 3276, 3150, 3098, 5681, 3, 227, 2923, 2947, 307, 3869, 3150, 3134, 3, 5]","[2, 347, 2940, 347, 3261, 733, 3134, 3400, 3210, 3360, 347, 2943, 1623, 5461, 3, 5]","[2, 733, 3134, 1563, 4579, 3449, 5547, 134, 3, 5]","[2, 6773, 3171, 5515, 3005, 241, 2993, 3134, 3, 5]",학생들한테도 개까임 [SEP] 
"[2, 7737, 2947, 355, 3276, 3150, 3098, 5681, 3, 227, 2923, 2947, 307, 3869, 3150, 3134, 3, 5]","[2, 347, 2940, 347, 3261, 733, 3134, 3400, 3210, 3360, 347, 2943, 1623, 5461, 3, 5]","[2, 733, 3134, 1563, 4579, 3449, 5547, 134, 3, 5]","[2, 6773, 3171, 5515, 3005, 241, 2993, 3134, 3, 5]","[2, 5482, 1690, 3141, 5487, 3, 5539, 5728, 3179, 3141, 3580, 3048, 3, 5]",그거 실수하면 [SEP] 그건 인생실수될듯 [SEP] 
"[2, 347, 2940, 347, 3261, 733, 3134, 3400, 3210, 3360, 347, 2943, 1623, 5461, 3, 5]","[2, 733, 3134, 1563, 4579, 3449, 5547, 134, 3, 5]","[2, 6773, 3171, 5515, 3005, 241, 2993, 3134, 3, 5]","[2, 5482, 1690, 3141, 5487, 3, 5539, 5728, 3179, 3141, 3580, 3048, 3, 5]","[2, 5546, 3, 5641, 5821, 3067, 5489, 3, 707, 2923, 3481, 2830, 3450, 2941, 3011, 5545, 3, 5]",ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅌㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [SEP] 시발 버스안인데 [SEP] 니때매 현웃터졌잖아 [SEP] 
"[2, 733, 3134, 1563, 4579, 3449, 5547, 134, 3, 5]","[2, 6773, 3171, 5515, 3005, 241, 2993, 3134, 3, 5]","[2, 5482, 1690, 3141, 5487, 3, 5539, 5728, 3179, 3141, 3580, 3048, 3, 5]","[2, 5546, 3, 5641, 5821, 3067, 5489, 3, 707, 2923, 3481, 2830, 3450, 2941, 3011, 5545, 3, 5]","[2, 1663, 4733, 2929, 2990, 6013, 134, 3, 5]",스쿨버스 없음? [SEP] 
"[2, 6773, 3171, 5515, 3005, 241, 2993, 3134, 3, 5]","[2, 5482, 1690, 3141, 5487, 3, 5539, 5728, 3179, 3141, 3580, 3048, 3, 5]","[2, 5546, 3, 5641, 5821, 3067, 5489, 3, 707, 2923, 3481, 2830, 3450, 2941, 3011, 5545, 3, 5]","[2, 1663, 4733, 2929, 2990, 6013, 134, 3, 5]","[2, 5567, 1863, 3189, 2957, 3, 6157, 6502, 7267, 6021, 3, 5]",그런거 없너요 [SEP] 학교가 돈이없다네요 [SEP] 
