utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 2031, 2967, 123, 123, 123, 3, 5893, 2967, 5571, 1383, 2954, 3058, 3, 6972, 2967, 544, 2934, 3114, 2965, 5691, 2059, 3033, 3, 5]",으에... [SEP] 노트북에 한번 봐보ㅓ [SEP] 놋북에 남아있을수도 이써 [SEP] 
[2],[2],[2],"[2, 2031, 2967, 123, 123, 123, 3, 5893, 2967, 5571, 1383, 2954, 3058, 3, 6972, 2967, 544, 2934, 3114, 2965, 5691, 2059, 3033, 3, 5]","[2, 1913, 6580, 3384, 6497, 3, 5649, 5502, 2931, 141, 169, 3, 5]",오 그럴수잇겟다 [SEP] 응원까지야^~ [SEP] 
[2],[2],"[2, 2031, 2967, 123, 123, 123, 3, 5893, 2967, 5571, 1383, 2954, 3058, 3, 6972, 2967, 544, 2934, 3114, 2965, 5691, 2059, 3033, 3, 5]","[2, 1913, 6580, 3384, 6497, 3, 5649, 5502, 2931, 141, 169, 3, 5]","[2, 7367, 5565, 3152, 2967, 3152, 2926, 3058, 3, 5]",으어어어애에애여ㅓ [SEP] 
[2],"[2, 2031, 2967, 123, 123, 123, 3, 5893, 2967, 5571, 1383, 2954, 3058, 3, 6972, 2967, 544, 2934, 3114, 2965, 5691, 2059, 3033, 3, 5]","[2, 1913, 6580, 3384, 6497, 3, 5649, 5502, 2931, 141, 169, 3, 5]","[2, 7367, 5565, 3152, 2967, 3152, 2926, 3058, 3, 5]","[2, 1985, 2162, 7317, 6775, 3460, 2925, 3, 1815, 3014, 2979, 3015, 3016, 3, 5]",웅 좀 만족스러웟어 [SEP] 애슐리왓당 [SEP] 
"[2, 2031, 2967, 123, 123, 123, 3, 5893, 2967, 5571, 1383, 2954, 3058, 3, 6972, 2967, 544, 2934, 3114, 2965, 5691, 2059, 3033, 3, 5]","[2, 1913, 6580, 3384, 6497, 3, 5649, 5502, 2931, 141, 169, 3, 5]","[2, 7367, 5565, 3152, 2967, 3152, 2926, 3058, 3, 5]","[2, 1985, 2162, 7317, 6775, 3460, 2925, 3, 1815, 3014, 2979, 3015, 3016, 3, 5]","[2, 5459, 1815, 3014, 2979, 3, 1330, 3189, 3189, 3060, 2946, 2934, 3003, 3032, 3, 5]",나도 애슐리 [SEP] 배너너ㅏ나아냐쟈 [SEP] 
"[2, 1913, 6580, 3384, 6497, 3, 5649, 5502, 2931, 141, 169, 3, 5]","[2, 7367, 5565, 3152, 2967, 3152, 2926, 3058, 3, 5]","[2, 1985, 2162, 7317, 6775, 3460, 2925, 3, 1815, 3014, 2979, 3015, 3016, 3, 5]","[2, 5459, 1815, 3014, 2979, 3, 1330, 3189, 3189, 3060, 2946, 2934, 3003, 3032, 3, 5]","[2, 1445, 7748, 6008, 3309, 5449, 5516, 5457, 7880, 1919, 3750, 2925, 3, 5]",빕스가기로행는데 사람 너무 많아서 옮겻어 [SEP] 
"[2, 7367, 5565, 3152, 2967, 3152, 2926, 3058, 3, 5]","[2, 1985, 2162, 7317, 6775, 3460, 2925, 3, 1815, 3014, 2979, 3015, 3016, 3, 5]","[2, 5459, 1815, 3014, 2979, 3, 1330, 3189, 3189, 3060, 2946, 2934, 3003, 3032, 3, 5]","[2, 1445, 7748, 6008, 3309, 5449, 5516, 5457, 7880, 1919, 3750, 2925, 3, 5]","[2, 1445, 2990, 5657, 5516, 1167, 2932, 123, 123, 123, 3, 5634, 6996, 3, 2513, 3049, 3154, 3049, 233, 3016, 3165, 3494, 3, 5]",빕스 요즘 사람 많지... [SEP] 그래도 부럽다 [SEP] 쿠우쿠우 갔당와짜 [SEP] 
"[2, 1985, 2162, 7317, 6775, 3460, 2925, 3, 1815, 3014, 2979, 3015, 3016, 3, 5]","[2, 5459, 1815, 3014, 2979, 3, 1330, 3189, 3189, 3060, 2946, 2934, 3003, 3032, 3, 5]","[2, 1445, 7748, 6008, 3309, 5449, 5516, 5457, 7880, 1919, 3750, 2925, 3, 5]","[2, 1445, 2990, 5657, 5516, 1167, 2932, 123, 123, 123, 3, 5634, 6996, 3, 2513, 3049, 3154, 3049, 233, 3016, 3165, 3494, 3, 5]","[2, 5459, 2483, 3154, 6514, 3, 1913, 3579, 2932, 3111, 896, 3097, 3111, 1326, 3233, 3683, 2977, 3683, 2983, 3, 5]",나도 케쿠머금 [SEP] 오렝지랑 딸기랑 방울토마토동 [SEP] 
"[2, 5459, 1815, 3014, 2979, 3, 1330, 3189, 3189, 3060, 2946, 2934, 3003, 3032, 3, 5]","[2, 1445, 7748, 6008, 3309, 5449, 5516, 5457, 7880, 1919, 3750, 2925, 3, 5]","[2, 1445, 2990, 5657, 5516, 1167, 2932, 123, 123, 123, 3, 5634, 6996, 3, 2513, 3049, 3154, 3049, 233, 3016, 3165, 3494, 3, 5]","[2, 5459, 2483, 3154, 6514, 3, 1913, 3579, 2932, 3111, 896, 3097, 3111, 1326, 3233, 3683, 2977, 3683, 2983, 3, 5]","[2, 1549, 2978, 3004, 2483, 7537, 134, 3, 5460, 332, 2996, 134, 3, 5485, 2598, 2977, 3683, 2947, 3, 5]",생크림 케이크? [SEP] 그냥 과일? [SEP] 그럼 토마토는 [SEP] 
"[2, 1445, 7748, 6008, 3309, 5449, 5516, 5457, 7880, 1919, 3750, 2925, 3, 5]","[2, 1445, 2990, 5657, 5516, 1167, 2932, 123, 123, 123, 3, 5634, 6996, 3, 2513, 3049, 3154, 3049, 233, 3016, 3165, 3494, 3, 5]","[2, 5459, 2483, 3154, 6514, 3, 1913, 3579, 2932, 3111, 896, 3097, 3111, 1326, 3233, 3683, 2977, 3683, 2983, 3, 5]","[2, 1549, 2978, 3004, 2483, 7537, 134, 3, 5460, 332, 2996, 134, 3, 5485, 2598, 2977, 3683, 2947, 3, 5]","[2, 5451, 3059, 3072, 3, 5]",ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ머래 [SEP] 
