utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 581, 6772, 3505, 2945, 5611, 134, 3, 5761, 5844, 1815, 3244, 1795, 3077, 5887, 134, 3, 1443, 2930, 2988, 121, 121, 3, 5]","너 인공눈물 있어 ? [SEP] 아니면 있는 애를 안다거나 ? [SEP] 빌려죠,, [SEP] "
[2],[2],[2],"[2, 581, 6772, 3505, 2945, 5611, 134, 3, 5761, 5844, 1815, 3244, 1795, 3077, 5887, 134, 3, 1443, 2930, 2988, 121, 121, 3, 5]","[2, 5605, 3005, 1169, 5590, 123, 123, 123, 3, 5]",빨리도 말한다... [SEP] 
[2],[2],"[2, 581, 6772, 3505, 2945, 5611, 134, 3, 5761, 5844, 1815, 3244, 1795, 3077, 5887, 134, 3, 1443, 2930, 2988, 121, 121, 3, 5]","[2, 5605, 3005, 1169, 5590, 123, 123, 123, 3, 5]","[2, 1311, 169, 1372, 169, 134, 3, 332, 3526, 123, 123, 123, 3, 2042, 2598, 3612, 134, 3, 1229, 6661, 7044, 2989, 2932, 3, 6295, 141, 119, 141, 3, 5]",바~보 ~ ? [SEP] 과외... [SEP] 음 토익 ? [SEP] 몇번째 말하는건지 [SEP] 모르겠다 ^!^ [SEP] 
[2],"[2, 581, 6772, 3505, 2945, 5611, 134, 3, 5761, 5844, 1815, 3244, 1795, 3077, 5887, 134, 3, 1443, 2930, 2988, 121, 121, 3, 5]","[2, 5605, 3005, 1169, 5590, 123, 123, 123, 3, 5]","[2, 1311, 169, 1372, 169, 134, 3, 332, 3526, 123, 123, 123, 3, 2042, 2598, 3612, 134, 3, 1229, 6661, 7044, 2989, 2932, 3, 6295, 141, 119, 141, 3, 5]","[2, 332, 3526, 5844, 2989, 5774, 6932, 2938, 3, 2598, 3612, 5760, 2947, 7109, 3, 5]",과외 있는건 기억나는데 [SEP] 토익인지는 모름 [SEP] 
"[2, 581, 6772, 3505, 2945, 5611, 134, 3, 5761, 5844, 1815, 3244, 1795, 3077, 5887, 134, 3, 1443, 2930, 2988, 121, 121, 3, 5]","[2, 5605, 3005, 1169, 5590, 123, 123, 123, 3, 5]","[2, 1311, 169, 1372, 169, 134, 3, 332, 3526, 123, 123, 123, 3, 2042, 2598, 3612, 134, 3, 1229, 6661, 7044, 2989, 2932, 3, 6295, 141, 119, 141, 3, 5]","[2, 332, 3526, 5844, 2989, 5774, 6932, 2938, 3, 2598, 3612, 5760, 2947, 7109, 3, 5]","[2, 5464, 1267, 5536, 1621, 6032, 199, 141, 3, 5]",그래 뭐 그럴 수 있지 ㅎ^ [SEP] 
"[2, 5605, 3005, 1169, 5590, 123, 123, 123, 3, 5]","[2, 1311, 169, 1372, 169, 134, 3, 332, 3526, 123, 123, 123, 3, 2042, 2598, 3612, 134, 3, 1229, 6661, 7044, 2989, 2932, 3, 6295, 141, 119, 141, 3, 5]","[2, 332, 3526, 5844, 2989, 5774, 6932, 2938, 3, 2598, 3612, 5760, 2947, 7109, 3, 5]","[2, 5464, 1267, 5536, 1621, 6032, 199, 141, 3, 5]","[2, 5620, 7259, 3, 5513, 1229, 3377, 134, 3, 5]",열심히 하렴 [SEP] 그래서 몇점? [SEP] 
"[2, 1311, 169, 1372, 169, 134, 3, 332, 3526, 123, 123, 123, 3, 2042, 2598, 3612, 134, 3, 1229, 6661, 7044, 2989, 2932, 3, 6295, 141, 119, 141, 3, 5]","[2, 332, 3526, 5844, 2989, 5774, 6932, 2938, 3, 2598, 3612, 5760, 2947, 7109, 3, 5]","[2, 5464, 1267, 5536, 1621, 6032, 199, 141, 3, 5]","[2, 5620, 7259, 3, 5513, 1229, 3377, 134, 3, 5]","[2, 6905, 6529, 134, 6151, 3, 5]",안봐봤는데 ?ㅎㅎㅎ [SEP] 
"[2, 332, 3526, 5844, 2989, 5774, 6932, 2938, 3, 2598, 3612, 5760, 2947, 7109, 3, 5]","[2, 5464, 1267, 5536, 1621, 6032, 199, 141, 3, 5]","[2, 5620, 7259, 3, 5513, 1229, 3377, 134, 3, 5]","[2, 6905, 6529, 134, 6151, 3, 5]","[2, 6109, 6130, 141, 141, 3, 5]",기대된다^^ [SEP] 
"[2, 5464, 1267, 5536, 1621, 6032, 199, 141, 3, 5]","[2, 5620, 7259, 3, 5513, 1229, 3377, 134, 3, 5]","[2, 6905, 6529, 134, 6151, 3, 5]","[2, 6109, 6130, 141, 141, 3, 5]","[2, 5561, 1372, 2932, 3, 7731, 5725, 119, 3, 145, 2970, 764, 6588, 3082, 3, 5]",언제 보지 [SEP] 봐야되는데 ! [SEP] c++이 더 중요해 [SEP] 
"[2, 5620, 7259, 3, 5513, 1229, 3377, 134, 3, 5]","[2, 6905, 6529, 134, 6151, 3, 5]","[2, 6109, 6130, 141, 141, 3, 5]","[2, 5561, 1372, 2932, 3, 7731, 5725, 119, 3, 145, 2970, 764, 6588, 3082, 3, 5]","[2, 5485, 2064, 6896, 6551, 2931, 3, 5]",그럼 일해라 노예야 [SEP] 
"[2, 6905, 6529, 134, 6151, 3, 5]","[2, 6109, 6130, 141, 141, 3, 5]","[2, 5561, 1372, 2932, 3, 7731, 5725, 119, 3, 145, 2970, 764, 6588, 3082, 3, 5]","[2, 5485, 2064, 6896, 6551, 2931, 3, 5]","[2, 5491, 1944, 5704, 2947, 265, 2931, 3, 2162, 1383, 3002, 123, 123, 3, 536, 6368, 5929, 2116, 6916, 5500, 5844, 2987, 3, 5904, 5648, 123, 123, 3, 5]",이거 왜 이러는 거야 [SEP] 좀 봐줘.. [SEP] 나 일주일동안 저것만 하고 있는게 [SEP] 있는데 안돼.. [SEP] 
"[2, 6109, 6130, 141, 141, 3, 5]","[2, 5561, 1372, 2932, 3, 7731, 5725, 119, 3, 145, 2970, 764, 6588, 3082, 3, 5]","[2, 5485, 2064, 6896, 6551, 2931, 3, 5]","[2, 5491, 1944, 5704, 2947, 265, 2931, 3, 2162, 1383, 3002, 123, 123, 3, 536, 6368, 5929, 2116, 6916, 5500, 5844, 2987, 3, 5904, 5648, 123, 123, 3, 5]","[2, 6126, 6059, 6989, 3, 5458, 2344, 2084, 3448, 5494, 141, 141, 3, 5]",저렇게 보여주면 [SEP] 내가 참 잘알겠다^^ [SEP] 
"[2, 5561, 1372, 2932, 3, 7731, 5725, 119, 3, 145, 2970, 764, 6588, 3082, 3, 5]","[2, 5485, 2064, 6896, 6551, 2931, 3, 5]","[2, 5491, 1944, 5704, 2947, 265, 2931, 3, 2162, 1383, 3002, 123, 123, 3, 536, 6368, 5929, 2116, 6916, 5500, 5844, 2987, 3, 5904, 5648, 123, 123, 3, 5]","[2, 6126, 6059, 6989, 3, 5458, 2344, 2084, 3448, 5494, 141, 141, 3, 5]","[2, 5485, 7121, 3, 5899, 3244, 5635, 3726, 2993, 3, 5]",그럼 차라리 [SEP] 코드를 보내즐까 [SEP] 
"[2, 5485, 2064, 6896, 6551, 2931, 3, 5]","[2, 5491, 1944, 5704, 2947, 265, 2931, 3, 2162, 1383, 3002, 123, 123, 3, 536, 6368, 5929, 2116, 6916, 5500, 5844, 2987, 3, 5904, 5648, 123, 123, 3, 5]","[2, 6126, 6059, 6989, 3, 5458, 2344, 2084, 3448, 5494, 141, 141, 3, 5]","[2, 5485, 7121, 3, 5899, 3244, 5635, 3726, 2993, 3, 5]","[2, 6588, 3030, 7478, 2999, 134, 3, 5593, 2706, 5505, 7023, 5733, 3, 388, 3755, 123, 123, 123, 3, 5]",중요한 부분만? [SEP] 사실 폰이라 보기 힘들어 [SEP] 그량... [SEP] 
"[2, 5491, 1944, 5704, 2947, 265, 2931, 3, 2162, 1383, 3002, 123, 123, 3, 536, 6368, 5929, 2116, 6916, 5500, 5844, 2987, 3, 5904, 5648, 123, 123, 3, 5]","[2, 6126, 6059, 6989, 3, 5458, 2344, 2084, 3448, 5494, 141, 141, 3, 5]","[2, 5485, 7121, 3, 5899, 3244, 5635, 3726, 2993, 3, 5]","[2, 6588, 3030, 7478, 2999, 134, 3, 5593, 2706, 5505, 7023, 5733, 3, 388, 3755, 123, 123, 123, 3, 5]","[2, 151, 3540, 6326, 7337, 3096, 125, 3, 2414, 3268, 6061, 145, 6677, 3096, 2942, 7057, 3491, 139, 7057, 3491, 3170, 7097, 3096, 142, 143, 3106, 7205, 3436, 139, 151, 140, 140, 689, 3, 164, 3107, 7546, 6131, 7057, 3106, 6942, 7057, 3491, 3, 7473, 3491, 3540, 3540, 6800, 142, 146, 6277, 3109, 2773, 7548, 5631, 7057, 3491, 3170, 7097, 3096, 142, 143, 3106, 7205, 3436, 3697, 3705, 2967, 3, 6525, 2947, 6369, 145, 6677, 3096, 7057, 3491, 139, 7057, 3491, 3170, 7097, 3096, 142, 143, 3106, 7205, 3436, 139, 151, 140, 140, 147, 3123, 3170, 3398, 3226, 5469, 536, 3, 5]",   if (input == 1) { [SEP] 출력할때 cout의 stu[student_array[i]]는  [SEP] vector <string> stu; [SEP] Shuffle_Data 함수는 원래 student_array배열에  [SEP] 오류는 항상 cout << stu[student_array[i]] << endl;줄에서 나 [SEP] 
