utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 2071, 5545, 5448, 3, 5]",있잖아ㅋㅋㅋ [SEP] 
[2],[2],[2],"[2, 2071, 5545, 5448, 3, 5]","[2, 1992, 4293, 5750, 2965, 6407, 3077, 7065, 3, 5844, 3226, 3005, 6240, 5975, 5481, 3, 5]",워낙 카톡을 안하다보니 [SEP] 있는줄도 몰랐다는ㅎㅎ [SEP] 
[2],[2],"[2, 2071, 5545, 5448, 3, 5]","[2, 1992, 4293, 5750, 2965, 6407, 3077, 7065, 3, 5844, 3226, 3005, 6240, 5975, 5481, 3, 5]","[2, 5793, 3063, 3, 536, 5582, 5590, 3, 5]",그럴수있음 [SEP] 나 수업한당 [SEP] 
[2],"[2, 2071, 5545, 5448, 3, 5]","[2, 1992, 4293, 5750, 2965, 6407, 3077, 7065, 3, 5844, 3226, 3005, 6240, 5975, 5481, 3, 5]","[2, 5793, 3063, 3, 536, 5582, 5590, 3, 5]","[2, 5992, 1383, 2929, 3, 5]",영상 봐버 [SEP] 
"[2, 2071, 5545, 5448, 3, 5]","[2, 1992, 4293, 5750, 2965, 6407, 3077, 7065, 3, 5844, 3226, 3005, 6240, 5975, 5481, 3, 5]","[2, 5793, 3063, 3, 536, 5582, 5590, 3, 5]","[2, 5992, 1383, 2929, 3, 5]","[2, 935, 5511, 123, 123, 123, 3, 536, 5462, 5687, 5518, 5731, 3003, 3, 5]",또하지... [SEP] 나 근데 왜이렇게 많이 나오냐 [SEP] 
"[2, 1992, 4293, 5750, 2965, 6407, 3077, 7065, 3, 5844, 3226, 3005, 6240, 5975, 5481, 3, 5]","[2, 5793, 3063, 3, 536, 5582, 5590, 3, 5]","[2, 5992, 1383, 2929, 3, 5]","[2, 935, 5511, 123, 123, 123, 3, 536, 5462, 5687, 5518, 5731, 3003, 3, 5]","[2, 156, 3124, 3110, 134, 134, 3, 6810, 2925, 134, 134, 3, 5]",ncs?? [SEP] 끝났어?? [SEP] 
"[2, 5793, 3063, 3, 536, 5582, 5590, 3, 5]","[2, 5992, 1383, 2929, 3, 5]","[2, 935, 5511, 123, 123, 123, 3, 536, 5462, 5687, 5518, 5731, 3003, 3, 5]","[2, 156, 3124, 3110, 134, 134, 3, 6810, 2925, 134, 134, 3, 5]","[2, 5754, 1566, 3005, 3263, 3, 7076, 6254, 2967, 6400, 656, 3261, 5802, 3, 656, 3618, 6913, 7077, 3134, 3, 5]",지금은 선도부 [SEP] 8시 10분에 잠깐 눈감았는데 [SEP] 눈떠보니까 9시임 [SEP] 
"[2, 5992, 1383, 2929, 3, 5]","[2, 935, 5511, 123, 123, 123, 3, 536, 5462, 5687, 5518, 5731, 3003, 3, 5]","[2, 156, 3124, 3110, 134, 134, 3, 6810, 2925, 134, 134, 3, 5]","[2, 5754, 1566, 3005, 3263, 3, 7076, 6254, 2967, 6400, 656, 3261, 5802, 3, 656, 3618, 6913, 7077, 3134, 3, 5]","[2, 5472, 2245, 723, 3507, 2960, 7358, 3016, 3, 5]",이제 짐 다싸고 누웠당 [SEP] 
"[2, 935, 5511, 123, 123, 123, 3, 536, 5462, 5687, 5518, 5731, 3003, 3, 5]","[2, 156, 3124, 3110, 134, 134, 3, 6810, 2925, 134, 134, 3, 5]","[2, 5754, 1566, 3005, 3263, 3, 7076, 6254, 2967, 6400, 656, 3261, 5802, 3, 656, 3618, 6913, 7077, 3134, 3, 5]","[2, 5472, 2245, 723, 3507, 2960, 7358, 3016, 3, 5]","[2, 5561, 2414, 3355, 6935, 134, 3, 5]",언제 출국하는거야? [SEP] 
"[2, 156, 3124, 3110, 134, 134, 3, 6810, 2925, 134, 134, 3, 5]","[2, 5754, 1566, 3005, 3263, 3, 7076, 6254, 2967, 6400, 656, 3261, 5802, 3, 656, 3618, 6913, 7077, 3134, 3, 5]","[2, 5472, 2245, 723, 3507, 2960, 7358, 3016, 3, 5]","[2, 5561, 2414, 3355, 6935, 134, 3, 5]","[2, 5506, 6587, 2967, 119, 119, 3, 5]",내일 오후에!! [SEP] 
"[2, 5754, 1566, 3005, 3263, 3, 7076, 6254, 2967, 6400, 656, 3261, 5802, 3, 656, 3618, 6913, 7077, 3134, 3, 5]","[2, 5472, 2245, 723, 3507, 2960, 7358, 3016, 3, 5]","[2, 5561, 2414, 3355, 6935, 134, 3, 5]","[2, 5506, 6587, 2967, 119, 119, 3, 5]","[2, 5792, 2788, 2929, 2963, 5797, 3165, 5447, 3, 5]",가서 햄버거 먹고와ㅋㅋ [SEP] 
"[2, 5472, 2245, 723, 3507, 2960, 7358, 3016, 3, 5]","[2, 5561, 2414, 3355, 6935, 134, 3, 5]","[2, 5506, 6587, 2967, 119, 119, 3, 5]","[2, 5792, 2788, 2929, 2963, 5797, 3165, 5447, 3, 5]","[2, 5546, 3, 7482, 3005, 7519, 7177, 3, 2062, 3819, 2934, 3450, 2929, 2963, 3, 5]",ㅌㅋㅋㅋㅋㅋㅋㅋ [SEP] 안그래도 먹는닼ㅋㅋㅋㅋ [SEP] 인앤아웃버거 [SEP] 
"[2, 5561, 2414, 3355, 6935, 134, 3, 5]","[2, 5506, 6587, 2967, 119, 119, 3, 5]","[2, 5792, 2788, 2929, 2963, 5797, 3165, 5447, 3, 5]","[2, 5546, 3, 7482, 3005, 7519, 7177, 3, 2062, 3819, 2934, 3450, 2929, 2963, 3, 5]","[2, 5823, 7072, 5447, 3, 5]",이름 왜이래ㅋㅋ [SEP] 
"[2, 5506, 6587, 2967, 119, 119, 3, 5]","[2, 5792, 2788, 2929, 2963, 5797, 3165, 5447, 3, 5]","[2, 5546, 3, 7482, 3005, 7519, 7177, 3, 2062, 3819, 2934, 3450, 2929, 2963, 3, 5]","[2, 5823, 7072, 5447, 3, 5]","[2, 355, 2994, 2987, 5448, 3, 5]",구러겤ㅋㅋㅋㅋㅋ [SEP] 
"[2, 5792, 2788, 2929, 2963, 5797, 3165, 5447, 3, 5]","[2, 5546, 3, 7482, 3005, 7519, 7177, 3, 2062, 3819, 2934, 3450, 2929, 2963, 3, 5]","[2, 5823, 7072, 5447, 3, 5]","[2, 355, 2994, 2987, 5448, 3, 5]","[2, 5945, 6320, 2425, 2969, 6754, 123, 123, 123, 3, 5588, 6599, 3, 5553, 2064, 3210, 6799, 3, 5620, 6476, 5447, 3, 5]",우린 12시 취침이여...;; [SEP] 공부해야되는데 [SEP] 갑자기 일생겨서 [SEP] 열심히 하는중ㅋㅋ [SEP] 
"[2, 5546, 3, 7482, 3005, 7519, 7177, 3, 2062, 3819, 2934, 3450, 2929, 2963, 3, 5]","[2, 5823, 7072, 5447, 3, 5]","[2, 355, 2994, 2987, 5448, 3, 5]","[2, 5945, 6320, 2425, 2969, 6754, 123, 123, 123, 3, 5588, 6599, 3, 5553, 2064, 3210, 6799, 3, 5620, 6476, 5447, 3, 5]","[2, 6320, 2425, 2969, 5476, 134, 134, 134, 3, 5]",12시 취침이야??? [SEP] 
"[2, 5823, 7072, 5447, 3, 5]","[2, 355, 2994, 2987, 5448, 3, 5]","[2, 5945, 6320, 2425, 2969, 6754, 123, 123, 123, 3, 5588, 6599, 3, 5553, 2064, 3210, 6799, 3, 5620, 6476, 5447, 3, 5]","[2, 6320, 2425, 2969, 5476, 134, 134, 134, 3, 5]","[2, 5513, 192, 3104, 5458, 629, 3094, 6045, 123, 123, 123, 3, 6725, 3082, 2344, 3, 5]",그래서 ㅇ제 내가 놀란건데... [SEP] 신박해 참 [SEP] 
"[2, 355, 2994, 2987, 5448, 3, 5]","[2, 5945, 6320, 2425, 2969, 6754, 123, 123, 123, 3, 5588, 6599, 3, 5553, 2064, 3210, 6799, 3, 5620, 6476, 5447, 3, 5]","[2, 6320, 2425, 2969, 5476, 134, 134, 134, 3, 5]","[2, 5513, 192, 3104, 5458, 629, 3094, 6045, 123, 123, 123, 3, 6725, 3082, 2344, 3, 5]","[2, 555, 6373, 5448, 3, 5]",내말이ㅋㅋㅋㅋㅋ [SEP] 
