utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 7893, 5577, 7821, 1931, 3323, 3, 5]",야야 너도 나갔다 와봐 [SEP] 
[2],[2],[2],"[2, 7893, 5577, 7821, 1931, 3323, 3, 5]","[2, 7821, 1913, 5488, 123, 123, 123, 134, 3, 5]",나갔다 오라고...? [SEP] 
[2],[2],"[2, 7893, 5577, 7821, 1931, 3323, 3, 5]","[2, 7821, 1913, 5488, 123, 123, 123, 134, 3, 5]","[2, 5834, 5987, 3, 7531, 3407, 5713, 2960, 3, 5458, 2599, 5635, 3308, 3572, 3, 5]",ㅇㅇ 해봐 [SEP] 채팅방 나가고 [SEP] 내가 톡 보내볼께 [SEP] 
[2],"[2, 7893, 5577, 7821, 1931, 3323, 3, 5]","[2, 7821, 1913, 5488, 123, 123, 123, 134, 3, 5]","[2, 5834, 5987, 3, 7531, 3407, 5713, 2960, 3, 5458, 2599, 5635, 3308, 3572, 3, 5]","[2, 536, 5758, 5523, 3, 5]",나간다는게 [SEP] 
"[2, 7893, 5577, 7821, 1931, 3323, 3, 5]","[2, 7821, 1913, 5488, 123, 123, 123, 134, 3, 5]","[2, 5834, 5987, 3, 7531, 3407, 5713, 2960, 3, 5458, 2599, 5635, 3308, 3572, 3, 5]","[2, 536, 5758, 5523, 3, 5]","[2, 5631, 125, 2973, 3424, 3080, 7531, 3407, 5713, 2976, 3, 1267, 5732, 3151, 2946, 3, 5]",원래 1ㄷ1은 채팅방 나가면 [SEP] 뭐 안나오나 [SEP] 
"[2, 7821, 1913, 5488, 123, 123, 123, 134, 3, 5]","[2, 5834, 5987, 3, 7531, 3407, 5713, 2960, 3, 5458, 2599, 5635, 3308, 3572, 3, 5]","[2, 536, 5758, 5523, 3, 5]","[2, 5631, 125, 2973, 3424, 3080, 7531, 3407, 5713, 2976, 3, 1267, 5732, 3151, 2946, 3, 5]","[2, 5603, 123, 123, 134, 3, 536, 5758, 5523, 3, 5]",몰라..? [SEP] 나간다는게 [SEP] 
"[2, 5834, 5987, 3, 7531, 3407, 5713, 2960, 3, 5458, 2599, 5635, 3308, 3572, 3, 5]","[2, 536, 5758, 5523, 3, 5]","[2, 5631, 125, 2973, 3424, 3080, 7531, 3407, 5713, 2976, 3, 1267, 5732, 3151, 2946, 3, 5]","[2, 5603, 123, 123, 134, 3, 536, 5758, 5523, 3, 5]","[2, 539, 7531, 3407, 5713, 6918, 1169, 5628, 5617, 134, 3, 5]",난 채팅방 나가기를 말한거거든? [SEP] 
"[2, 536, 5758, 5523, 3, 5]","[2, 5631, 125, 2973, 3424, 3080, 7531, 3407, 5713, 2976, 3, 1267, 5732, 3151, 2946, 3, 5]","[2, 5603, 123, 123, 134, 3, 536, 5758, 5523, 3, 5]","[2, 539, 7531, 3407, 5713, 6918, 1169, 5628, 5617, 134, 3, 5]","[2, 2157, 3097, 6472, 2967, 5604, 3, 5]",조기 아래에 저거 [SEP] 
"[2, 5631, 125, 2973, 3424, 3080, 7531, 3407, 5713, 2976, 3, 1267, 5732, 3151, 2946, 3, 5]","[2, 5603, 123, 123, 134, 3, 536, 5758, 5523, 3, 5]","[2, 539, 7531, 3407, 5713, 6918, 1169, 5628, 5617, 134, 3, 5]","[2, 2157, 3097, 6472, 2967, 5604, 3, 5]","[2, 536, 4469, 3077, 3022, 134, 3, 5]",나갓다옴? [SEP] 
"[2, 5603, 123, 123, 134, 3, 536, 5758, 5523, 3, 5]","[2, 539, 7531, 3407, 5713, 6918, 1169, 5628, 5617, 134, 3, 5]","[2, 2157, 3097, 6472, 2967, 5604, 3, 5]","[2, 536, 4469, 3077, 3022, 134, 3, 5]","[2, 5513, 6727, 6568, 723, 3451, 2934, 7341, 3, 5]",그래서 위에 내용 다날아갔는데 [SEP] 
