utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 6765, 3, 1958, 3037, 5928, 3244, 1621, 2949, 5590, 3088, 123, 123, 134, 3, 192, 6386, 723, 3236, 5499, 7020, 1861, 3343, 3005, 1239, 555, 2960, 6134, 3086, 3023, 3, 5]",ㅋㄱㅋㄱㅋ [SEP] 욕설 데이터를 수집한다구..? [SEP] ㅇ너무 다양해서 누군 엄두도 못 내고 있을텐디 [SEP] 
[2],[2],[2],"[2, 6765, 3, 1958, 3037, 5928, 3244, 1621, 2949, 5590, 3088, 123, 123, 134, 3, 192, 6386, 723, 3236, 5499, 7020, 1861, 3343, 3005, 1239, 555, 2960, 6134, 3086, 3023, 3, 5]","[2, 5577, 2781, 4156, 3, 5]",너도 해줭 [SEP] 
[2],[2],"[2, 6765, 3, 1958, 3037, 5928, 3244, 1621, 2949, 5590, 3088, 123, 123, 134, 3, 192, 6386, 723, 3236, 5499, 7020, 1861, 3343, 3005, 1239, 555, 2960, 6134, 3086, 3023, 3, 5]","[2, 5577, 2781, 4156, 3, 5]","[2, 190, 2953, 5579, 3420, 2953, 5579, 539, 1311, 2962, 3025, 317, 3310, 3025, 6880, 2071, 3173, 5484, 141, 141, 3, 1831, 6737, 5483, 3, 5575, 3204, 2970, 5583, 3, 126, 3272, 5929, 7739, 3460, 3077, 141, 141, 3, 5]",ㅅㅋㅅㅋㅅㅋㅆㅋㅅㅋ 난 바른말 고운말 쓰고 있ㅇ어서 ^^ [SEP] 야 이번에 우리 [SEP] 다른반이더라 ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ [SEP] 2년동안 즐거웟다^^ [SEP] 
[2],"[2, 6765, 3, 1958, 3037, 5928, 3244, 1621, 2949, 5590, 3088, 123, 123, 134, 3, 192, 6386, 723, 3236, 5499, 7020, 1861, 3343, 3005, 1239, 555, 2960, 6134, 3086, 3023, 3, 5]","[2, 5577, 2781, 4156, 3, 5]","[2, 190, 2953, 5579, 3420, 2953, 5579, 539, 1311, 2962, 3025, 317, 3310, 3025, 6880, 2071, 3173, 5484, 141, 141, 3, 1831, 6737, 5483, 3, 5575, 3204, 2970, 5583, 3, 126, 3272, 5929, 7739, 3460, 3077, 141, 141, 3, 5]","[2, 1792, 2116, 3132, 3199, 3082, 3, 6334, 2930, 3001, 2932, 5465, 3, 1314, 3697, 3103, 5607, 3, 5]",아 저용히해 [SEP] 자살마려워지니까 [SEP] 반배정 ㅅㅂ [SEP] 
"[2, 6765, 3, 1958, 3037, 5928, 3244, 1621, 2949, 5590, 3088, 123, 123, 134, 3, 192, 6386, 723, 3236, 5499, 7020, 1861, 3343, 3005, 1239, 555, 2960, 6134, 3086, 3023, 3, 5]","[2, 5577, 2781, 4156, 3, 5]","[2, 190, 2953, 5579, 3420, 2953, 5579, 539, 1311, 2962, 3025, 317, 3310, 3025, 6880, 2071, 3173, 5484, 141, 141, 3, 1831, 6737, 5483, 3, 5575, 3204, 2970, 5583, 3, 126, 3272, 5929, 7739, 3460, 3077, 141, 141, 3, 5]","[2, 1792, 2116, 3132, 3199, 3082, 3, 6334, 2930, 3001, 2932, 5465, 3, 1314, 3697, 3103, 5607, 3, 5]","[2, 5546, 3, 6668, 581, 3, 2095, 3340, 7598, 5583, 3, 5]",ㅋㅋㅋㅋㅋㄱㅋㅌㅌㅋ [SEP] 심지어 너 [SEP] 재원쌤이더라 ( ͡° ͜ʖ ͡°) [SEP] 
"[2, 5577, 2781, 4156, 3, 5]","[2, 190, 2953, 5579, 3420, 2953, 5579, 539, 1311, 2962, 3025, 317, 3310, 3025, 6880, 2071, 3173, 5484, 141, 141, 3, 1831, 6737, 5483, 3, 5575, 3204, 2970, 5583, 3, 126, 3272, 5929, 7739, 3460, 3077, 141, 141, 3, 5]","[2, 1792, 2116, 3132, 3199, 3082, 3, 6334, 2930, 3001, 2932, 5465, 3, 1314, 3697, 3103, 5607, 3, 5]","[2, 5546, 3, 6668, 581, 3, 2095, 3340, 7598, 5583, 3, 5]","[2, 5458, 1958, 723, 3418, 3048, 3, 5]",내가 욕 다쓸듯 [SEP] 
"[2, 190, 2953, 5579, 3420, 2953, 5579, 539, 1311, 2962, 3025, 317, 3310, 3025, 6880, 2071, 3173, 5484, 141, 141, 3, 1831, 6737, 5483, 3, 5575, 3204, 2970, 5583, 3, 126, 3272, 5929, 7739, 3460, 3077, 141, 141, 3, 5]","[2, 1792, 2116, 3132, 3199, 3082, 3, 6334, 2930, 3001, 2932, 5465, 3, 1314, 3697, 3103, 5607, 3, 5]","[2, 5546, 3, 6668, 581, 3, 2095, 3340, 7598, 5583, 3, 5]","[2, 5458, 1958, 723, 3418, 3048, 3, 5]","[2, 6, 7822, 5962, 3223, 5686, 3244, 6491, 5599, 123, 3, 6346, 3363, 2992, 3159, 5555, 141, 141, 3, 2182, 3406, 6097, 2587, 7046, 5555, 2950, 3, 1239, 6491, 3077, 3, 5]",나연님이 선물과 메시지를 보냈습니다. [SEP] 생일축하했었어^^ [SEP] 주식때문에 텅장이었어서 [SEP] 못 보냈다 [SEP] 
"[2, 1792, 2116, 3132, 3199, 3082, 3, 6334, 2930, 3001, 2932, 5465, 3, 1314, 3697, 3103, 5607, 3, 5]","[2, 5546, 3, 6668, 581, 3, 2095, 3340, 7598, 5583, 3, 5]","[2, 5458, 1958, 723, 3418, 3048, 3, 5]","[2, 6, 7822, 5962, 3223, 5686, 3244, 6491, 5599, 123, 3, 6346, 3363, 2992, 3159, 5555, 141, 141, 3, 2182, 3406, 6097, 2587, 7046, 5555, 2950, 3, 1239, 6491, 3077, 3, 5]","[2, 536, 5704, 2976, 229, 2983, 3006, 5815, 3, 5]",나 이러면 감동먹는다 [SEP] 
"[2, 5546, 3, 6668, 581, 3, 2095, 3340, 7598, 5583, 3, 5]","[2, 5458, 1958, 723, 3418, 3048, 3, 5]","[2, 6, 7822, 5962, 3223, 5686, 3244, 6491, 5599, 123, 3, 6346, 3363, 2992, 3159, 5555, 141, 141, 3, 2182, 3406, 6097, 2587, 7046, 5555, 2950, 3, 1239, 6491, 3077, 3, 5]","[2, 536, 5704, 2976, 229, 2983, 3006, 5815, 3, 5]","[2, 1200, 4020, 169, 141, 169, 141, 169, 3, 5]",머겅 ~^~^~ [SEP] 
"[2, 5458, 1958, 723, 3418, 3048, 3, 5]","[2, 6, 7822, 5962, 3223, 5686, 3244, 6491, 5599, 123, 3, 6346, 3363, 2992, 3159, 5555, 141, 141, 3, 2182, 3406, 6097, 2587, 7046, 5555, 2950, 3, 1239, 6491, 3077, 3, 5]","[2, 536, 5704, 2976, 229, 2983, 3006, 5815, 3, 5]","[2, 1200, 4020, 169, 141, 169, 141, 169, 3, 5]","[2, 5457, 6345, 2925, 3, 5458, 880, 3494, 2084, 5879, 3, 5]",너무 고마어 [SEP] 내가 딘짜 잘할게 [SEP] 
