utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 7310, 3, 5717, 7743, 3, 5466, 7957, 1295, 3083, 3454, 2932, 5533, 2932, 134, 134, 3, 5]",카카오페이지 [SEP] 뭔가 했네 [SEP] 오늘 창체 미세먼지 하나지?? [SEP] 
[2],[2],[2],"[2, 7310, 3, 5717, 7743, 3, 5466, 7957, 1295, 3083, 3454, 2932, 5533, 2932, 134, 134, 3, 5]","[2, 5759, 5536, 7011, 3, 5]",아마 그럴거얌 [SEP] 
[2],[2],"[2, 7310, 3, 5717, 7743, 3, 5466, 7957, 1295, 3083, 3454, 2932, 5533, 2932, 134, 134, 3, 5]","[2, 5759, 5536, 7011, 3, 5]","[2, 1792, 5470, 342, 2940, 3030, 2960, 3479, 7539, 3, 5]",아 지금 괼장한고민중이야 [SEP] 
[2],"[2, 7310, 3, 5717, 7743, 3, 5466, 7957, 1295, 3083, 3454, 2932, 5533, 2932, 134, 134, 3, 5]","[2, 5759, 5536, 7011, 3, 5]","[2, 1792, 5470, 342, 2940, 3030, 2960, 3479, 7539, 3, 5]","[2, 388, 7253, 3, 5823, 5774, 1795, 5900, 3, 5]",그 뭐더라 [SEP] 이름 기억 안난다 [SEP] 
"[2, 7310, 3, 5717, 7743, 3, 5466, 7957, 1295, 3083, 3454, 2932, 5533, 2932, 134, 134, 3, 5]","[2, 5759, 5536, 7011, 3, 5]","[2, 1792, 5470, 342, 2940, 3030, 2960, 3479, 7539, 3, 5]","[2, 388, 7253, 3, 5823, 5774, 1795, 5900, 3, 5]","[2, 5450, 5604, 2598, 3339, 6973, 3076, 5504, 3, 273, 3103, 3330, 5505, 3, 6442, 5476, 3, 5]",아니 저거 토끼 사고싶은데 [SEP] 검정색이라 [SEP] 고민중이야 [SEP] 
"[2, 5759, 5536, 7011, 3, 5]","[2, 1792, 5470, 342, 2940, 3030, 2960, 3479, 7539, 3, 5]","[2, 388, 7253, 3, 5823, 5774, 1795, 5900, 3, 5]","[2, 5450, 5604, 2598, 3339, 6973, 3076, 5504, 3, 273, 3103, 3330, 5505, 3, 6442, 5476, 3, 5]","[2, 2598, 3339, 7443, 134, 3, 2598, 3339, 2921, 6409, 5881, 3, 5]",토끼 인사? [SEP] 토끼가 두개자너 [SEP] 
"[2, 1792, 5470, 342, 2940, 3030, 2960, 3479, 7539, 3, 5]","[2, 388, 7253, 3, 5823, 5774, 1795, 5900, 3, 5]","[2, 5450, 5604, 2598, 3339, 6973, 3076, 5504, 3, 273, 3103, 3330, 5505, 3, 6442, 5476, 3, 5]","[2, 2598, 3339, 7443, 134, 3, 2598, 3339, 2921, 6409, 5881, 3, 5]","[2, 626, 3111, 2598, 3339, 3, 5451, 6650, 3, 5]",노랑 토끼 [SEP] ㅋㅋㅋㅅㅋㅅㅋㅅㅋ [SEP] 
"[2, 388, 7253, 3, 5823, 5774, 1795, 5900, 3, 5]","[2, 5450, 5604, 2598, 3339, 6973, 3076, 5504, 3, 273, 3103, 3330, 5505, 3, 6442, 5476, 3, 5]","[2, 2598, 3339, 7443, 134, 3, 2598, 3339, 2921, 6409, 5881, 3, 5]","[2, 626, 3111, 2598, 3339, 3, 5451, 6650, 3, 5]","[2, 2042, 123, 123, 123, 119, 3, 1795, 2925, 3233, 6528, 5889, 123, 123, 123, 134, 3, 2706, 6225, 134, 134, 3, 5]",음...! [SEP] 안어울리지 않을까...? [SEP] 폰 뭔데?? [SEP] 
"[2, 5450, 5604, 2598, 3339, 6973, 3076, 5504, 3, 273, 3103, 3330, 5505, 3, 6442, 5476, 3, 5]","[2, 2598, 3339, 7443, 134, 3, 2598, 3339, 2921, 6409, 5881, 3, 5]","[2, 626, 3111, 2598, 3339, 3, 5451, 6650, 3, 5]","[2, 2042, 123, 123, 123, 119, 3, 1795, 2925, 3233, 6528, 5889, 123, 123, 123, 134, 3, 2706, 6225, 134, 134, 3, 5]","[2, 5570, 3202, 131, 3, 5462, 273, 3103, 3330, 5476, 3, 5]",아이폰 7 [SEP] 근데 검정색이야 [SEP] 
"[2, 2598, 3339, 7443, 134, 3, 2598, 3339, 2921, 6409, 5881, 3, 5]","[2, 626, 3111, 2598, 3339, 3, 5451, 6650, 3, 5]","[2, 2042, 123, 123, 123, 119, 3, 1795, 2925, 3233, 6528, 5889, 123, 123, 123, 134, 3, 2706, 6225, 134, 134, 3, 5]","[2, 5570, 3202, 131, 3, 5462, 273, 3103, 3330, 5476, 3, 5]","[2, 2598, 3339, 7443, 2921, 7164, 5889, 123, 123, 123, 134, 3, 5]",토끼 인사가 낫지 않을까...? [SEP] 
