utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 1831, 6040, 7467, 3, 5]",야아아아ㅏ아ㅏㅏ [SEP] 
[2],[2],[2],"[2, 1831, 6040, 7467, 3, 5]","[2, 2767, 3082, 2921, 5654, 3067, 3146, 5905, 3, 1216, 2979, 2978, 6987, 2977, 2990, 3144, 3, 2084, 5635, 2936, 3, 5466, 6877, 3, 126, 3187, 5913, 5688, 7816, 7968, 6033, 5768, 3077, 3, 5]",한해가 얼마안남았다 [SEP] 메리크리스마스발 [SEP] 잘 보내라 [SEP] 오늘 보자 [SEP] 26일이 아닌 25일에 일어나버렸다 [SEP] 
[2],[2],"[2, 1831, 6040, 7467, 3, 5]","[2, 2767, 3082, 2921, 5654, 3067, 3146, 5905, 3, 1216, 2979, 2978, 6987, 2977, 2990, 3144, 3, 2084, 5635, 2936, 3, 5466, 6877, 3, 126, 3187, 5913, 5688, 7816, 7968, 6033, 5768, 3077, 3, 5]","[2, 6811, 5472, 7324, 3, 5]",나더 이제 인남 [SEP] 
[2],"[2, 1831, 6040, 7467, 3, 5]","[2, 2767, 3082, 2921, 5654, 3067, 3146, 5905, 3, 1216, 2979, 2978, 6987, 2977, 2990, 3144, 3, 2084, 5635, 2936, 3, 5466, 6877, 3, 126, 3187, 5913, 5688, 7816, 7968, 6033, 5768, 3077, 3, 5]","[2, 6811, 5472, 7324, 3, 5]","[2, 5466, 6100, 6357, 5758, 284, 5476, 3, 5759, 1525, 3261, 3449, 1799, 5968, 2124, 3192, 2923, 6441, 2976, 2132, 2943, 5488, 1169, 2992, 3039, 3, 170, 7100, 3173, 134, 3, 7366, 7077, 2967, 6064, 7181, 265, 5489, 3, 5720, 5603, 134, 3, 1690, 3036, 5637, 123, 3, 5]",오늘 기숙사 안들어간다 게이야 [SEP] 아마 사감쌤 알텐데 점호때 물어보면 제사라고 말하셈 [SEP] ㄱㅇㄱㅇㄱㅇㄱㅇ? [SEP] 오전 9시에 가야되는 건데 [SEP] 이걸 몰라? [SEP] 실망이다. [SEP] 
"[2, 1831, 6040, 7467, 3, 5]","[2, 2767, 3082, 2921, 5654, 3067, 3146, 5905, 3, 1216, 2979, 2978, 6987, 2977, 2990, 3144, 3, 2084, 5635, 2936, 3, 5466, 6877, 3, 126, 3187, 5913, 5688, 7816, 7968, 6033, 5768, 3077, 3, 5]","[2, 6811, 5472, 7324, 3, 5]","[2, 5466, 6100, 6357, 5758, 284, 5476, 3, 5759, 1525, 3261, 3449, 1799, 5968, 2124, 3192, 2923, 6441, 2976, 2132, 2943, 5488, 1169, 2992, 3039, 3, 170, 7100, 3173, 134, 3, 7366, 7077, 2967, 6064, 7181, 265, 5489, 3, 5720, 5603, 134, 3, 1690, 3036, 5637, 123, 3, 5]","[2, 5458, 5478, 2934, 3166, 3, 6346, 3363, 5871, 3563, 3, 5641, 6346, 134, 3, 1541, 3082, 1373, 5518, 6095, 2936, 3, 536, 2090, 3152, 6917, 3, 893, 5750, 2965, 5713, 2960, 7429, 3, 5458, 5699, 6419, 3, 1782, 3144, 1944, 6241, 3, 5]",내가 어케아누 [SEP] 생일축하하노 [SEP] 시발 생일? [SEP] 새해 복 많이 받아라 [SEP] 나 장애인듯 [SEP] 딱 카톡을 나가고 나서 [SEP] 내가 뭐라했지 [SEP] 씨발 왜 안가 [SEP] 
"[2, 2767, 3082, 2921, 5654, 3067, 3146, 5905, 3, 1216, 2979, 2978, 6987, 2977, 2990, 3144, 3, 2084, 5635, 2936, 3, 5466, 6877, 3, 126, 3187, 5913, 5688, 7816, 7968, 6033, 5768, 3077, 3, 5]","[2, 6811, 5472, 7324, 3, 5]","[2, 5466, 6100, 6357, 5758, 284, 5476, 3, 5759, 1525, 3261, 3449, 1799, 5968, 2124, 3192, 2923, 6441, 2976, 2132, 2943, 5488, 1169, 2992, 3039, 3, 170, 7100, 3173, 134, 3, 7366, 7077, 2967, 6064, 7181, 265, 5489, 3, 5720, 5603, 134, 3, 1690, 3036, 5637, 123, 3, 5]","[2, 5458, 5478, 2934, 3166, 3, 6346, 3363, 5871, 3563, 3, 5641, 6346, 134, 3, 1541, 3082, 1373, 5518, 6095, 2936, 3, 536, 2090, 3152, 6917, 3, 893, 5750, 2965, 5713, 2960, 7429, 3, 5458, 5699, 6419, 3, 1782, 3144, 1944, 6241, 3, 5]","[2, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 5459, 1944, 6241, 3003, 3, 150, 3109, 3095, 3095, 3436, 156, 3107, 3991, 167, 3107, 6171, 7624, 2947, 6199, 1685, 3269, 3144, 5693, 5715, 3, 5]",생일을 왜 축하해 [SEP] 생일을 왜 축하해 [SEP] 생일을 왜 축하해 [SEP] 생일을 왜 축하해 [SEP] 생일을 왜 축하해 [SEP] 나도 왜 안가냐 [SEP] happy new year 올해는 제발 시2발 취업하자  [SEP] 
"[2, 6811, 5472, 7324, 3, 5]","[2, 5466, 6100, 6357, 5758, 284, 5476, 3, 5759, 1525, 3261, 3449, 1799, 5968, 2124, 3192, 2923, 6441, 2976, 2132, 2943, 5488, 1169, 2992, 3039, 3, 170, 7100, 3173, 134, 3, 7366, 7077, 2967, 6064, 7181, 265, 5489, 3, 5720, 5603, 134, 3, 1690, 3036, 5637, 123, 3, 5]","[2, 5458, 5478, 2934, 3166, 3, 6346, 3363, 5871, 3563, 3, 5641, 6346, 134, 3, 1541, 3082, 1373, 5518, 6095, 2936, 3, 536, 2090, 3152, 6917, 3, 893, 5750, 2965, 5713, 2960, 7429, 3, 5458, 5699, 6419, 3, 1782, 3144, 1944, 6241, 3, 5]","[2, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 5459, 1944, 6241, 3003, 3, 150, 3109, 3095, 3095, 3436, 156, 3107, 3991, 167, 3107, 6171, 7624, 2947, 6199, 1685, 3269, 3144, 5693, 5715, 3, 5]","[2, 5693, 5459, 6200, 3063, 3, 1541, 3082, 3264, 5518, 1316, 2966, 3039, 3, 5]",취업 나도 하고싶음 [SEP] 새해복 많이 받으셈 [SEP] 
"[2, 5466, 6100, 6357, 5758, 284, 5476, 3, 5759, 1525, 3261, 3449, 1799, 5968, 2124, 3192, 2923, 6441, 2976, 2132, 2943, 5488, 1169, 2992, 3039, 3, 170, 7100, 3173, 134, 3, 7366, 7077, 2967, 6064, 7181, 265, 5489, 3, 5720, 5603, 134, 3, 1690, 3036, 5637, 123, 3, 5]","[2, 5458, 5478, 2934, 3166, 3, 6346, 3363, 5871, 3563, 3, 5641, 6346, 134, 3, 1541, 3082, 1373, 5518, 6095, 2936, 3, 536, 2090, 3152, 6917, 3, 893, 5750, 2965, 5713, 2960, 7429, 3, 5458, 5699, 6419, 3, 1782, 3144, 1944, 6241, 3, 5]","[2, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 5459, 1944, 6241, 3003, 3, 150, 3109, 3095, 3095, 3436, 156, 3107, 3991, 167, 3107, 6171, 7624, 2947, 6199, 1685, 3269, 3144, 5693, 5715, 3, 5]","[2, 5693, 5459, 6200, 3063, 3, 1541, 3082, 3264, 5518, 1316, 2966, 3039, 3, 5]","[2, 190, 2973, 2973, 3042, 2973, 3043, 3042, 3043, 3042, 5841, 3042, 2973, 3043, 3, 5706, 5666, 3146, 3, 5]",ㅅㄷㄷㄱㄷㅅㄱㆍㅅㄱㄴㅇㄱㄷㅅ [SEP] 방금 일어남 [SEP] 
"[2, 5458, 5478, 2934, 3166, 3, 6346, 3363, 5871, 3563, 3, 5641, 6346, 134, 3, 1541, 3082, 1373, 5518, 6095, 2936, 3, 536, 2090, 3152, 6917, 3, 893, 5750, 2965, 5713, 2960, 7429, 3, 5458, 5699, 6419, 3, 1782, 3144, 1944, 6241, 3, 5]","[2, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 5459, 1944, 6241, 3003, 3, 150, 3109, 3095, 3095, 3436, 156, 3107, 3991, 167, 3107, 6171, 7624, 2947, 6199, 1685, 3269, 3144, 5693, 5715, 3, 5]","[2, 5693, 5459, 6200, 3063, 3, 1541, 3082, 3264, 5518, 1316, 2966, 3039, 3, 5]","[2, 190, 2973, 2973, 3042, 2973, 3043, 3042, 3043, 3042, 5841, 3042, 2973, 3043, 3, 5706, 5666, 3146, 3, 5]","[2, 6938, 3625, 3134, 3, 126, 3424, 3083, 3097, 3349, 3340, 3, 5]",우리집앞임 [SEP] 21세기병원 [SEP] 
"[2, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 6346, 2965, 1944, 7903, 3082, 3, 5459, 1944, 6241, 3003, 3, 150, 3109, 3095, 3095, 3436, 156, 3107, 3991, 167, 3107, 6171, 7624, 2947, 6199, 1685, 3269, 3144, 5693, 5715, 3, 5]","[2, 5693, 5459, 6200, 3063, 3, 1541, 3082, 3264, 5518, 1316, 2966, 3039, 3, 5]","[2, 190, 2973, 2973, 3042, 2973, 3043, 3042, 3043, 3042, 5841, 3042, 2973, 3043, 3, 5706, 5666, 3146, 3, 5]","[2, 6938, 3625, 3134, 3, 126, 3424, 3083, 3097, 3349, 3340, 3, 5]","[2, 2853, 2983, 3074, 2974, 1372, 6249, 3, 125, 3180, 2132, 3526, 5474, 3, 2118, 3263, 126, 3424, 3083, 3097, 6010, 5469, 3, 2237, 3291, 1316, 2924, 5769, 3, 5]",활동경로 보니깐 [SEP] 1회 제외하고 [SEP] 전부 21세기 병원에서 [SEP] 진료 받았던데 [SEP] 
