utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 5899, 5611, 2957, 5604, 5470, 134, 134, 134, 3, 5]",코드 있어요 저거 지금??? [SEP] 
[2],[2],[2],"[2, 5899, 5611, 2957, 5604, 5470, 134, 134, 134, 3, 5]","[2, 388, 7993, 3, 5750, 2967, 6086, 2921, 3114, 5769, 3, 5]",그 뭐시여 [SEP] 카톡에 올라가있던데 [SEP] 
[2],[2],"[2, 5899, 5611, 2957, 5604, 5470, 134, 134, 134, 3, 5]","[2, 388, 7993, 3, 5750, 2967, 6086, 2921, 3114, 5769, 3, 5]","[2, 5450, 2773, 3141, 1169, 3592, 3, 6719, 5450, 2967, 4244, 3, 6234, 7904, 2071, 3757, 3, 6087, 6978, 7429, 6525, 6932, 265, 3, 589, 3254, 7002, 3688, 3, 5]",아니 함수 말궁 [SEP] ㄴㄴ 아니에욤 [SEP] 제가 치고 있움 [SEP] 자꾸 오타 나서 오류나는 거 [SEP] 넘무 빡치긔 [SEP] 
[2],"[2, 5899, 5611, 2957, 5604, 5470, 134, 134, 134, 3, 5]","[2, 388, 7993, 3, 5750, 2967, 6086, 2921, 3114, 5769, 3, 5]","[2, 5450, 2773, 3141, 1169, 3592, 3, 6719, 5450, 2967, 4244, 3, 6234, 7904, 2071, 3757, 3, 6087, 6978, 7429, 6525, 6932, 265, 3, 589, 3254, 7002, 3688, 3, 5]","[2, 539, 5460, 6572, 539, 3077, 3, 5460, 6572, 536, 123, 123, 3, 5]",난 그냥 화가 난다 [SEP] 그냥 화가 나.. [SEP] 
"[2, 5899, 5611, 2957, 5604, 5470, 134, 134, 134, 3, 5]","[2, 388, 7993, 3, 5750, 2967, 6086, 2921, 3114, 5769, 3, 5]","[2, 5450, 2773, 3141, 1169, 3592, 3, 6719, 5450, 2967, 4244, 3, 6234, 7904, 2071, 3757, 3, 6087, 6978, 7429, 6525, 6932, 265, 3, 589, 3254, 7002, 3688, 3, 5]","[2, 539, 5460, 6572, 539, 3077, 3, 5460, 6572, 536, 123, 123, 3, 5]","[2, 5605, 6585, 5559, 1940, 5475, 7488, 3088, 3454, 3, 5]",빨리 쉬는 시간 왔으면 좋겠구먼 [SEP] 
"[2, 388, 7993, 3, 5750, 2967, 6086, 2921, 3114, 5769, 3, 5]","[2, 5450, 2773, 3141, 1169, 3592, 3, 6719, 5450, 2967, 4244, 3, 6234, 7904, 2071, 3757, 3, 6087, 6978, 7429, 6525, 6932, 265, 3, 589, 3254, 7002, 3688, 3, 5]","[2, 539, 5460, 6572, 539, 3077, 3, 5460, 6572, 536, 123, 123, 3, 5]","[2, 5605, 6585, 5559, 1940, 5475, 7488, 3088, 3454, 3, 5]","[2, 5922, 123, 123, 3, 5]",화이팅.. [SEP] 
"[2, 5450, 2773, 3141, 1169, 3592, 3, 6719, 5450, 2967, 4244, 3, 6234, 7904, 2071, 3757, 3, 6087, 6978, 7429, 6525, 6932, 265, 3, 589, 3254, 7002, 3688, 3, 5]","[2, 539, 5460, 6572, 539, 3077, 3, 5460, 6572, 536, 123, 123, 3, 5]","[2, 5605, 6585, 5559, 1940, 5475, 7488, 3088, 3454, 3, 5]","[2, 5922, 123, 123, 3, 5]","[2, 7027, 3734, 3097, 2781, 3701, 2925, 3, 5581, 1792, 3897, 3, 6781, 5457, 7992, 3001, 3, 5754, 2162, 6445, 3082, 3011, 5449, 3, 5836, 5452, 1268, 1685, 2940, 3325, 3055, 2186, 3, 5]",이모티콘 즐겨찾기 해놨어 [SEP] 머리 아팡 [SEP] 우리반 너무 시끄러워 [SEP] 지금은 좀 조용해졌는데 [SEP] 아까 진짜 뭔 시장통인 줄 [SEP] 
"[2, 539, 5460, 6572, 539, 3077, 3, 5460, 6572, 536, 123, 123, 3, 5]","[2, 5605, 6585, 5559, 1940, 5475, 7488, 3088, 3454, 3, 5]","[2, 5922, 123, 123, 3, 5]","[2, 7027, 3734, 3097, 2781, 3701, 2925, 3, 5581, 1792, 3897, 3, 6781, 5457, 7992, 3001, 3, 5754, 2162, 6445, 3082, 3011, 5449, 3, 5836, 5452, 1268, 1685, 2940, 3325, 3055, 2186, 3, 5]","[2, 1931, 2940, 3444, 123, 123, 123, 119, 3, 5]",와장창...! [SEP] 
"[2, 5605, 6585, 5559, 1940, 5475, 7488, 3088, 3454, 3, 5]","[2, 5922, 123, 123, 3, 5]","[2, 7027, 3734, 3097, 2781, 3701, 2925, 3, 5581, 1792, 3897, 3, 6781, 5457, 7992, 3001, 3, 5754, 2162, 6445, 3082, 3011, 5449, 3, 5836, 5452, 1268, 1685, 2940, 3325, 3055, 2186, 3, 5]","[2, 1931, 2940, 3444, 123, 123, 123, 119, 3, 5]","[2, 1792, 5466, 7101, 408, 3310, 2970, 5779, 3, 1685, 3459, 3217, 3179, 7249, 2062, 3340, 3, 5457, 2117, 2965, 265, 7037, 3, 191, 3281, 1693, 3080, 3201, 3, 5]",아 오늘따라 기운이 없다 [SEP] 시청각실 가는 인원 [SEP] 너무 적을 거 같아 [SEP] ㅆㅂ 싫은뎅 [SEP] 
"[2, 5922, 123, 123, 3, 5]","[2, 7027, 3734, 3097, 2781, 3701, 2925, 3, 5581, 1792, 3897, 3, 6781, 5457, 7992, 3001, 3, 5754, 2162, 6445, 3082, 3011, 5449, 3, 5836, 5452, 1268, 1685, 2940, 3325, 3055, 2186, 3, 5]","[2, 1931, 2940, 3444, 123, 123, 123, 119, 3, 5]","[2, 1792, 5466, 7101, 408, 3310, 2970, 5779, 3, 1685, 3459, 3217, 3179, 7249, 2062, 3340, 3, 5457, 2117, 2965, 265, 7037, 3, 191, 3281, 1693, 3080, 3201, 3, 5]","[2, 5922, 123, 123, 123, 3, 5]",화이팅... [SEP] 
