utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 5570, 2960, 5541, 377, 7298, 2965, 2116, 6391, 123, 123, 123, 3, 6567, 3199, 1316, 6417, 5616, 3, 5]",아이고 이런 귀한것을 저에게... [SEP] 감사히 받겠습니다 ㅎㅎ [SEP] 
[2],[2],[2],"[2, 5570, 2960, 5541, 377, 7298, 2965, 2116, 6391, 123, 123, 123, 3, 6567, 3199, 1316, 6417, 5616, 3, 5]","[2, 6280, 2349, 3080, 981, 3162, 5476, 3, 1596, 2940, 5977, 6442, 3, 5]",오랜만에 찾은 띵작이야 [SEP] 소장할까 고민중 [SEP] 
[2],[2],"[2, 5570, 2960, 5541, 377, 7298, 2965, 2116, 6391, 123, 123, 123, 3, 6567, 3199, 1316, 6417, 5616, 3, 5]","[2, 6280, 2349, 3080, 981, 3162, 5476, 3, 1596, 2940, 5977, 6442, 3, 5]","[2, 5568, 7869, 5912, 2976, 1239, 3316, 2963, 723, 7321, 3, 1717, 3055, 2987, 7361, 3, 5]",나는 해커톤 끝나면 못본거 다 봐야지 [SEP] 쌓인게 많다 [SEP] 
[2],"[2, 5570, 2960, 5541, 377, 7298, 2965, 2116, 6391, 123, 123, 123, 3, 6567, 3199, 1316, 6417, 5616, 3, 5]","[2, 6280, 2349, 3080, 981, 3162, 5476, 3, 1596, 2940, 5977, 6442, 3, 5]","[2, 5568, 7869, 5912, 2976, 1239, 3316, 2963, 723, 7321, 3, 1717, 3055, 2987, 7361, 3, 5]","[2, 539, 143, 3170, 3110, 3095, 5935, 6484, 3, 5]",난 adsp 조져야해 [SEP] 
"[2, 5570, 2960, 5541, 377, 7298, 2965, 2116, 6391, 123, 123, 123, 3, 6567, 3199, 1316, 6417, 5616, 3, 5]","[2, 6280, 2349, 3080, 981, 3162, 5476, 3, 1596, 2940, 5977, 6442, 3, 5]","[2, 5568, 7869, 5912, 2976, 1239, 3316, 2963, 723, 7321, 3, 1717, 3055, 2987, 7361, 3, 5]","[2, 539, 143, 3170, 3110, 3095, 5935, 6484, 3, 5]","[2, 5451, 1822, 5607, 3, 5]",ㅋㅋㅋㅋㅋ 앱 ㅅㅂ [SEP] 
"[2, 6280, 2349, 3080, 981, 3162, 5476, 3, 1596, 2940, 5977, 6442, 3, 5]","[2, 5568, 7869, 5912, 2976, 1239, 3316, 2963, 723, 7321, 3, 1717, 3055, 2987, 7361, 3, 5]","[2, 539, 143, 3170, 3110, 3095, 5935, 6484, 3, 5]","[2, 5451, 1822, 5607, 3, 5]","[2, 539, 6833, 7138, 6330, 3, 5814, 7116, 3005, 2769, 3730, 3, 5]",난 친구랑 놀러왔어 [SEP] 노래 연습도 할겸 [SEP] 
"[2, 5568, 7869, 5912, 2976, 1239, 3316, 2963, 723, 7321, 3, 1717, 3055, 2987, 7361, 3, 5]","[2, 539, 143, 3170, 3110, 3095, 5935, 6484, 3, 5]","[2, 5451, 1822, 5607, 3, 5]","[2, 539, 6833, 7138, 6330, 3, 5814, 7116, 3005, 2769, 3730, 3, 5]","[2, 5459, 227, 3251, 2938, 5472, 2235, 3049, 6219, 3, 6100, 3286, 3506, 3, 5]",나도 갈껀데  이제  지우오면 [SEP] 기숙사문좀 [SEP] 
"[2, 539, 143, 3170, 3110, 3095, 5935, 6484, 3, 5]","[2, 5451, 1822, 5607, 3, 5]","[2, 539, 6833, 7138, 6330, 3, 5814, 7116, 3005, 2769, 3730, 3, 5]","[2, 5459, 227, 3251, 2938, 5472, 2235, 3049, 6219, 3, 6100, 3286, 3506, 3, 5]","[2, 1563, 2932, 3049, 1915, 5859, 134, 134, 3, 5]",서지우 온거같은데?? [SEP] 
"[2, 5451, 1822, 5607, 3, 5]","[2, 539, 6833, 7138, 6330, 3, 5814, 7116, 3005, 2769, 3730, 3, 5]","[2, 5459, 227, 3251, 2938, 5472, 2235, 3049, 6219, 3, 6100, 3286, 3506, 3, 5]","[2, 1563, 2932, 3049, 1915, 5859, 134, 134, 3, 5]","[2, 1254, 2970, 1895, 2930, 5463, 3, 5]",문이 열려야지 [SEP] 
"[2, 539, 6833, 7138, 6330, 3, 5814, 7116, 3005, 2769, 3730, 3, 5]","[2, 5459, 227, 3251, 2938, 5472, 2235, 3049, 6219, 3, 6100, 3286, 3506, 3, 5]","[2, 1563, 2932, 3049, 1915, 5859, 134, 134, 3, 5]","[2, 1254, 2970, 1895, 2930, 5463, 3, 5]","[2, 5640, 7019, 2947, 3270, 3, 6, 1792, 3, 1166, 3065, 5537, 1045, 3677, 3142, 7557, 2079, 3573, 2970, 5904, 3, 355, 3082, 3226, 5587, 3380, 134, 3, 5]",계속 기다리는준 [SEP] 지웅아 [SEP] 만렙부터 레벨업이라는 작품이 있는데 [SEP] 구해줄수있냥? [SEP] 
