utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 6, 1831, 3, 126, 3269, 3126, 5502, 723, 6487, 3, 5472, 126, 3545, 3126, 3244, 3, 6520, 1378, 134, 134, 3, 5]",승우야 [SEP] 22화까지 다봤어 [SEP] 이제 23화를 [SEP] 어디서 봄?? [SEP] 
[2],[2],[2],"[2, 6, 1831, 3, 126, 3269, 3126, 5502, 723, 6487, 3, 5472, 126, 3545, 3126, 3244, 3, 6520, 1378, 134, 134, 3, 5]","[2, 7310, 221, 5517, 3, 5]",카카오페이지 가세요 [SEP] 
[2],[2],"[2, 6, 1831, 3, 126, 3269, 3126, 5502, 723, 6487, 3, 5472, 126, 3545, 3126, 3244, 3, 6520, 1378, 134, 134, 3, 5]","[2, 7310, 221, 5517, 3, 5]","[2, 5482, 7310, 1832, 3369, 805, 2942, 2764, 3072, 3, 5]",그거 카카오페이지 약관 동의 하래 [SEP] 
[2],"[2, 6, 1831, 3, 126, 3269, 3126, 5502, 723, 6487, 3, 5472, 126, 3545, 3126, 3244, 3, 6520, 1378, 134, 134, 3, 5]","[2, 7310, 221, 5517, 3, 5]","[2, 5482, 7310, 1832, 3369, 805, 2942, 2764, 3072, 3, 5]","[2, 5612, 5475, 7107, 2974, 1443, 2930, 3226, 3141, 5904, 3, 156, 3110, 3991, 2980, 3545, 7647, 3123, 7917, 5920, 123, 145, 6561, 3, 5]",재밌으면 내꺼로 빌려줄수 있는데 [SEP] nsw0311@naver.com [SEP] 
"[2, 6, 1831, 3, 126, 3269, 3126, 5502, 723, 6487, 3, 5472, 126, 3545, 3126, 3244, 3, 6520, 1378, 134, 134, 3, 5]","[2, 7310, 221, 5517, 3, 5]","[2, 5482, 7310, 1832, 3369, 805, 2942, 2764, 3072, 3, 5]","[2, 5612, 5475, 7107, 2974, 1443, 2930, 3226, 3141, 5904, 3, 156, 3110, 3991, 2980, 3545, 7647, 3123, 7917, 5920, 123, 145, 6561, 3, 5]","[2, 607, 2977, 3548, 2704, 3357, 6299, 6555, 2971, 5448, 3, 5]",넷마블 포커 안하고 보는중ㅋㅋㅋ [SEP] 
"[2, 7310, 221, 5517, 3, 5]","[2, 5482, 7310, 1832, 3369, 805, 2942, 2764, 3072, 3, 5]","[2, 5612, 5475, 7107, 2974, 1443, 2930, 3226, 3141, 5904, 3, 156, 3110, 3991, 2980, 3545, 7647, 3123, 7917, 5920, 123, 145, 6561, 3, 5]","[2, 607, 2977, 3548, 2704, 3357, 6299, 6555, 2971, 5448, 3, 5]","[2, 153, 3438, 3398, 3398, 6343, 3436, 3123, 3110, 3991, 2980, 3545, 7647, 3, 7275, 1438, 3009, 861, 3224, 2960, 3, 1372, 3369, 3147, 5469, 5830, 1184, 6472, 3195, 2967, 6134, 3578, 5473, 3, 5]",KOLLODYnsw0311 [SEP] 아이디 비번 드렸고 [SEP] 보관함에서 거의 맨 아래쪽에 있을겁니다 [SEP] 
"[2, 5482, 7310, 1832, 3369, 805, 2942, 2764, 3072, 3, 5]","[2, 5612, 5475, 7107, 2974, 1443, 2930, 3226, 3141, 5904, 3, 156, 3110, 3991, 2980, 3545, 7647, 3123, 7917, 5920, 123, 145, 6561, 3, 5]","[2, 607, 2977, 3548, 2704, 3357, 6299, 6555, 2971, 5448, 3, 5]","[2, 153, 3438, 3398, 3398, 6343, 3436, 3123, 3110, 3991, 2980, 3545, 7647, 3, 7275, 1438, 3009, 861, 3224, 2960, 3, 1372, 3369, 3147, 5469, 5830, 1184, 6472, 3195, 2967, 6134, 3578, 5473, 3, 5]","[2, 1926, 7469, 6567, 5856, 3, 5]",옹오오오 감사합니당 [SEP] 
"[2, 5612, 5475, 7107, 2974, 1443, 2930, 3226, 3141, 5904, 3, 156, 3110, 3991, 2980, 3545, 7647, 3123, 7917, 5920, 123, 145, 6561, 3, 5]","[2, 607, 2977, 3548, 2704, 3357, 6299, 6555, 2971, 5448, 3, 5]","[2, 153, 3438, 3398, 3398, 6343, 3436, 3123, 3110, 3991, 2980, 3545, 7647, 3, 7275, 1438, 3009, 861, 3224, 2960, 3, 1372, 3369, 3147, 5469, 5830, 1184, 6472, 3195, 2967, 6134, 3578, 5473, 3, 5]","[2, 1926, 7469, 6567, 5856, 3, 5]","[2, 5460, 5908, 811, 2926, 3191, 3, 5]",그냥 보면 돼여ㅎ [SEP] 
"[2, 607, 2977, 3548, 2704, 3357, 6299, 6555, 2971, 5448, 3, 5]","[2, 153, 3438, 3398, 3398, 6343, 3436, 3123, 3110, 3991, 2980, 3545, 7647, 3, 7275, 1438, 3009, 861, 3224, 2960, 3, 1372, 3369, 3147, 5469, 5830, 1184, 6472, 3195, 2967, 6134, 3578, 5473, 3, 5]","[2, 1926, 7469, 6567, 5856, 3, 5]","[2, 5460, 5908, 811, 2926, 3191, 3, 5]","[2, 5485, 2226, 1596, 3, 1792, 1687, 3326, 3077, 3, 5]",그럼 즐 소 [SEP] 아 신났다 [SEP] 
"[2, 153, 3438, 3398, 3398, 6343, 3436, 3123, 3110, 3991, 2980, 3545, 7647, 3, 7275, 1438, 3009, 861, 3224, 2960, 3, 1372, 3369, 3147, 5469, 5830, 1184, 6472, 3195, 2967, 6134, 3578, 5473, 3, 5]","[2, 1926, 7469, 6567, 5856, 3, 5]","[2, 5460, 5908, 811, 2926, 3191, 3, 5]","[2, 5485, 2226, 1596, 3, 1792, 1687, 3326, 3077, 3, 5]","[2, 5990, 6509, 2118, 3005, 5739, 3, 5]",오늘도 한명 전도했다 [SEP] 
"[2, 1926, 7469, 6567, 5856, 3, 5]","[2, 5460, 5908, 811, 2926, 3191, 3, 5]","[2, 5485, 2226, 1596, 3, 1792, 1687, 3326, 3077, 3, 5]","[2, 5990, 6509, 2118, 3005, 5739, 3, 5]","[2, 2118, 3005, 5448, 3, 5]",전돜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [SEP] 
"[2, 5460, 5908, 811, 2926, 3191, 3, 5]","[2, 5485, 2226, 1596, 3, 1792, 1687, 3326, 3077, 3, 5]","[2, 5990, 6509, 2118, 3005, 5739, 3, 5]","[2, 2118, 3005, 5448, 3, 5]","[2, 7419, 1372, 6244, 3, 6271, 6814, 1549, 3085, 3268, 155, 3109, 3585, 119, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1992, 3548, 139, 7834, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]",재밌게 보세여 [SEP] 친구가 보낸 생명력 Max! [독점연재] 이용권 (선물)이 도착했어요! 카카오페이지에서 함께 즐겨요~  [SEP] 친구가 보낸 워블 [완결] 이용권 (선물)이 도착했어요! 카카오페이지에서 함께 즐겨요~  [SEP] 
"[2, 5485, 2226, 1596, 3, 1792, 1687, 3326, 3077, 3, 5]","[2, 5990, 6509, 2118, 3005, 5739, 3, 5]","[2, 2118, 3005, 5448, 3, 5]","[2, 7419, 1372, 6244, 3, 6271, 6814, 1549, 3085, 3268, 155, 3109, 3585, 119, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1992, 3548, 139, 7834, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5466, 6281, 5469, 5800, 6824, 4002, 3, 5]",오늘 긱사에서 얘기 할수있냠 [SEP] 
"[2, 5990, 6509, 2118, 3005, 5739, 3, 5]","[2, 2118, 3005, 5448, 3, 5]","[2, 7419, 1372, 6244, 3, 6271, 6814, 1549, 3085, 3268, 155, 3109, 3585, 119, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1992, 3548, 139, 7834, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5466, 6281, 5469, 5800, 6824, 4002, 3, 5]","[2, 2047, 123, 123, 123, 134, 3, 5601, 3899, 3097, 134, 3, 5585, 3131, 2935, 3118, 3, 6588, 3030, 5800, 2931, 134, 3, 5]",응...? [SEP] 무슨얘기? [SEP] 괜찮습니ㅑ [SEP] 중요한 얘기야? [SEP] 
